country,activity,year,month,date,state,region,district,school_type,treatment,treat_phase,urban,student_id,grade,level,female,class_size,multigrade,age,language,clpm,clspm,csspm,cwpm,cnonwpm,unt_orf,orf,letter_score,letter_score_pcnt,letter_time_remain,letter_attempted,letter_attempted_pcnt,letter_sound_score,letter_sound_score_pcnt,letter_sound_time_remain,letter_sound_attempted,letter_sound_attempted_pcnt,fam_word_score,fam_word_score_pcnt,fam_word_time_remain,fam_word_attempted,fam_word_attempted_pcnt,oral_read_score,oral_read_score_pcnt,oral_read_time_remain,oral_read_attempted,oral_read_attempted_pcnt,read_comp_score,read_comp_score_pcnt,read_comp_attempted,read_comp_attempted_pcnt,unt_oral_read_score,unt_oral_read_score_pcnt,unt_oral_read_time_remain,unt_oral_read_attempted,unt_oral_read_attempted_pcnt,unt_read_comp_score,unt_read_comp_score_pcnt,unt_read_comp_attempted,unt_read_comp_attempted_pcnt,list_comp_score,list_comp_score_pcnt,list_comp_attempted,list_comp_attempted_pcnt,pa_num_sound_score,pa_num_sound_score_pcnt,pa_num_sound_attempted,pa_num_sound_attempted_pcnt,pa_phon_sound_score,pa_phon_sound_score_pcnt,pa_phon_sound_attempted,pa_phon_sound_attempted_pcnt,pa_diff_init_sound_score,pa_diff_init_sound_score_pcnt,pa_diff_init_sound_attempted,pa_diff_init_sound_attempted_pcnt,pa_init_sound_score,pa_init_sound_score_pcnt,pa_init_sound_attempted,pa_init_sound_attempted_pcnt,syllable_sound_score,syllable_sound_score_pcnt,syllable_sound_time_remain,syllable_sound_attempted,syllable_sound_attempted_pcnt,vocab_word_score,vocab_word_attempted,eq_orf,eq_oral_read_score,eq_oral_read_score_pcnt,eq_oral_read_attempted,eq_oral_read_attempted_pcnt,final_weight,strata1,strata2,strata3,strata4,strata5,fpc1,fpc2,fpc3,fpc4,fpc5,su1,su2,su3,su4,su5,wt1,wt2,wt3,wt4,wt5,cot_score,cot_attempted,cot_attempted_pcnt,invent_word_score,invent_word_score_pcnt,invent_word_time_remain,invent_word_attempted,invent_word_attempted_pcnt,eq_read_comp_score,eq_read_comp_score_pcnt,eq_read_comp_attempted,eq_read_comp_attempted_pcnt,cohort,intervention,encrypted_school_code
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020611,2,,Male,,,10,Tigrigna,12,,,4,5,,0,12,,0,,,,,,,,4,,0,,,0,,0,,,0,0,,,,,,,,,,,,4,80,,,,,,,6,60,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,5,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020612,2,,Male,,,9,Tigrigna,7,,,0,0,,0,7,,0,,,,,,,,0,,,,,0,,0,,,0,0,,,,,,,,,,,,4,80,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020613,2,,Male,,,8,Tigrigna,72,,,26,19,,23,72,,0,,,,,,,,26,,0,,,23,,0,,,3,60,,,,,,,,,,,,5,100,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,19,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020614,2,,Male,,,9,Tigrigna,20,,,10,1,,2,20,,0,,,,,,,,10,,0,,,2,,0,,,0,0,,,,,,,,,,,,5,100,,,,,,,8,80,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020615,2,,Male,,,10,Tigrigna,30,,,30,16,,22,30,,0,,,,,,,,30,,0,,,22,,0,,,1,20,,,,,,,,,,,,5,100,,,,,,,9,90,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,16,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020616,2,,Male,,,8,Tigrigna,35,,,13,8,,8,35,,0,,,,,,,,13,,0,,,8,,0,,,0,0,,,,,,,,,,,,5,100,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,8,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020617,2,,Male,,,10,Tigrigna,1,,,0,0,,0,1,,0,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,,,,,4,80,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020618,2,,Male,,,10,Tigrigna,0,,,0,0,,0,0,,0,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,,,,,2,40,,,,,,,6,60,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020619,2,,Male,,,12,Tigrigna,32,,,13,0,,7,32,,0,,,,,,,,13,,0,,,7,,0,,,0,0,,,,,,,,,,,,5,100,,,,,,,8,80,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020620,2,,Male,,,11,Tigrigna,56,,,38,24,,36,56,,0,,,,,,,,38,,0,,,36,,0,,,3,60,,,,,,,,,,,,3,60,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,24,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
